id,first_name,last_name,Address,City,State,Zip,SSN,Birthdate
1,Stephani,Boone,79 Montana Plaza,Oklahoma City,OK,73119,142-74-7590,1984-09-01
2,Corette,Brilon,22499 New Castle Junction,Boston,MA,02163,686-92-0365,1986-09-19
3,Peggie,Gittus,8 Drewry Junction,Virginia Beach,VA,23454,125-07-9944,1997-02-15
4,Leroi,Margett,4 Porter Drive,Chicago,IL,60630,712-19-7275,2000-05-22
5,Nelle,Paull,12 Rowland Street,Norcross,GA,30092,275-54-5660,1987-03-03
6,Ari,McHale,28073 Kingsford Parkway,Alhambra,CA,91841,412-92-8045,1991-08-18
7,Barclay,Elston,620 Carioca Road,Mobile,AL,36622,468-91-3932,1997-11-21
8,Riva,Manders,47 Kinsman Park,Omaha,NE,68124,827-28-5764,1991-07-05
9,Breanne,Menier,94 Buhler Alley,Omaha,NE,68134,707-01-5232,1997-04-14
10,Fonsie,Mordue,8631 Thompson Hill,Wilkes Barre,PA,18706,511-37-9932,1986-09-10
11,Lauri,Geist,48116 Huxley Place,Wichita,KS,67236,465-16-2084,2000-05-11
12,Revkah,Coo,256 Kennedy Plaza,Wichita Falls,TX,76305,789-01-9707,1990-12-16
13,Abigael,Celier,19 Hoffman Crossing,Galveston,TX,77554,234-48-3658,1991-09-24
14,Adrien,Kliche,66 Browning Lane,Portland,OR,97229,875-02-8696,1996-09-23
15,Alain,Ronchi,9 Claremont Hill,Lexington,KY,40581,461-26-6775,1993-08-17
16,Lulita,Murty,48 Anniversary Place,Huntington,WV,25716,441-65-6751,1988-03-15
17,Townie,Knibbs,158 Ryan Street,Newport News,VA,23605,669-55-4393,1980-10-15
18,Allegra,Hadlow,18632 Grasskamp Circle,Los Angeles,CA,90005,526-51-2142,1984-01-11
19,Fernando,Filov,03 Maywood Crossing,Washington,DC,20260,716-99-9938,1991-01-27
20,Ashton,Spellicy,9 Union Place,Tampa,FL,33647,432-38-3549,1984-10-22
21,Jodi,Goodreid,98856 Haas Way,Springfield,VA,22156,159-73-3765,1987-04-03
22,Tedda,Tullett,83093 Pine View Hill,Detroit,MI,48224,691-17-6205,1986-08-31
23,Abagail,Muris,2966 Sutteridge Avenue,Salt Lake City,UT,84170,424-96-9894,1986-09-10
24,Kial,Fane,50 Sloan Alley,Brooklyn,NY,11231,134-04-9478,1984-10-10
25,Shepard,Stutte,76284 Talisman Avenue,Lexington,KY,40581,240-01-5518,1991-04-28
26,Opaline,Hornig,96507 Mallard Center,Waterloo,IA,50706,576-91-9862,1987-01-10
27,Casey,Brydone,6 Swallow Junction,Baltimore,MD,21282,463-74-1443,1997-01-01
